Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
01 flow-create item inside a project and set its priority:main flow,100,3524,2807,5371,358.73,0.00%,8.4,44.13,5385.3
TOTAL,100,3524,2807,5371,358.73,0.00%,8.4,44.13,5385.3
