Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
01 flow-create item inside a project and set its priority:main flow,70,3684,2976,4333,305.28,0.00%,5.3,27.75,5396.2
TOTAL,70,3684,2976,4333,305.28,0.00%,5.3,27.75,5396.2
