Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
01 flow-create item inside a project and set its priority:main flow,70,3885,3262,6641,508.29,0.00%,5.0,26.48,5370.4
TOTAL,70,3885,3262,6641,508.29,0.00%,5.0,26.48,5370.4
