Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
03 flow- delete n items from a project:main flow,40,9419,8129,14261,1717.86,0.00%,1.3,21.55,16638.4
TOTAL,40,9419,8129,14261,1717.86,0.00%,1.3,21.55,16638.4
