Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
03 flow- delete n items from a project:main flow,10,9269,8158,11344,1322.22,0.00%,.4,5.96,16635.7
TOTAL,10,9269,8158,11344,1322.22,0.00%,.4,5.96,16635.7
