Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
03 flow- delete n items from a project:main flow,70,10227,8716,17576,1688.23,0.00%,2.1,34.38,16573.6
TOTAL,70,10227,8716,17576,1688.23,0.00%,2.1,34.38,16573.6
