Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
03 flow- delete n items from a project:main flow,100,9985,8561,17952,1900.55,0.00%,3.0,48.02,16595.2
TOTAL,100,9985,8561,17952,1900.55,0.00%,3.0,48.02,16595.2
