Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
07 flow - Pospone the item due date:main flow,10,7330,5334,9179,1294.18,0.00%,.5,4.43,9205.2
TOTAL,10,7330,5334,9179,1294.18,0.00%,.5,4.43,9205.2
