Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
07 flow - Pospone the item due date:main flow,40,7811,4675,14553,2632.90,0.00%,1.7,15.34,9235.2
TOTAL,40,7811,4675,14553,2632.90,0.00%,1.7,15.34,9235.2
