Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
main flow,100,22414,18926,27987,1598.94,0.00%,2.6,23.11,9194.8
TOTAL,100,22414,18926,27987,1598.94,0.00%,2.6,23.11,9194.8
