Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
07 flow - Pospone the item due date:main flow,70,30163,26515,36108,1629.00,0.00%,1.5,13.82,9194.7
TOTAL,70,30163,26515,36108,1629.00,0.00%,1.5,13.82,9194.7
