Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
05 flow - create N child items:main flow,100,8822,7327,13487,1784.37,0.00%,3.5,44.40,13020.3
TOTAL,100,8822,7327,13487,1784.37,0.00%,3.5,44.40,13020.3
