Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
05 flow - create N child items:main flow,100,22010,16029,29581,2269.64,0.00%,2.4,30.12,13015.0
TOTAL,100,22010,16029,29581,2269.64,0.00%,2.4,30.12,13015.0
