Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
10 flow - create and delete all projects:main flow,10,9652,9376,9996,198.77,0.00%,.3,8.34,28938.2
TOTAL,10,9652,9376,9996,198.77,0.00%,.3,8.34,28938.2
