Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
10 flow - create and delete all projects:main flow,10,10222,9451,12702,872.14,0.00%,.3,7.71,28938.2
TOTAL,10,10222,9451,12702,872.14,0.00%,.3,7.71,28938.2
