Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
10 flow - create and delete all projects:main flow,100,13531,11097,21708,1684.77,0.00%,2.2,61.60,28852.0
TOTAL,100,13531,11097,21708,1684.77,0.00%,2.2,61.60,28852.0
