Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
10 flow - create and delete all projects:main flow,70,18736,14447,25641,2735.55,0.00%,1.4,39.74,28801.3
TOTAL,70,18736,14447,25641,2735.55,0.00%,1.4,39.74,28801.3
