Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
10 flow - create and delete all projects:main flow,70,12323,10263,16953,1421.29,0.00%,1.7,48.36,28889.7
TOTAL,70,12323,10263,16953,1421.29,0.00%,1.7,48.36,28889.7
