Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
09 flow - update user settings:main flow,100,6371,4357,12536,2244.28,0.00%,4.4,22.13,5173.7
TOTAL,100,6371,4357,12536,2244.28,0.00%,4.4,22.13,5173.7
