Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
09 flow - update user settings:main flow,70,4894,3950,10080,1352.83,0.00%,3.9,19.68,5187.4
TOTAL,70,4894,3950,10080,1352.83,0.00%,3.9,19.68,5187.4
