Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
09 flow - update user settings:main flow,100,7832,6065,12514,1133.68,0.00%,5.1,25.56,5177.1
TOTAL,100,7832,6065,12514,1133.68,0.00%,5.1,25.56,5177.1
