Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
09 flow - update user settings:main flow,40,4172,3694,7001,753.07,0.00%,2.6,13.35,5192.9
TOTAL,40,4172,3694,7001,753.07,0.00%,2.6,13.35,5192.9
