Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
09 flow - update user settings:main flow,10,3986,3339,6440,1209.35,0.00%,.7,3.53,5212.9
TOTAL,10,3986,3339,6440,1209.35,0.00%,.7,3.53,5212.9
