Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
09 flow - update user settings:main flow,70,5751,4684,9727,1155.66,0.00%,3.9,19.94,5173.5
TOTAL,70,5751,4684,9727,1155.66,0.00%,3.9,19.94,5173.5
