Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
09 flow - update user settings:main flow,10,3395,3341,3469,39.93,0.00%,.7,3.59,5215.4
TOTAL,10,3395,3341,3469,39.93,0.00%,.7,3.59,5215.4
