Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
09 flow - update user settings:main flow,40,4067,3591,6854,767.03,0.00%,2.7,13.51,5199.1
TOTAL,40,4067,3591,6854,767.03,0.00%,2.7,13.51,5199.1
