Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
06 flow - get and delete all items by root item:main flow,70,13413,11021,20457,2461.03,0.00%,1.7,40.05,24675.3
TOTAL,70,13413,11021,20457,2461.03,0.00%,1.7,40.05,24675.3
