Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
06 flow - get and delete all items by root item:main flow,40,12793,10969,17658,2133.60,0.00%,1.1,26.33,24671.6
TOTAL,40,12793,10969,17658,2133.60,0.00%,1.1,26.33,24671.6
