Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
06 flow - get and delete all items by root item:main flow,100,11424,9228,16041,1827.86,0.00%,2.8,66.96,24721.9
TOTAL,100,11424,9228,16041,1827.86,0.00%,2.8,66.96,24721.9
