Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
06 flow - get and delete all items by root item:main flow,100,13490,10855,17838,2046.05,0.00%,2.7,65.27,24686.8
TOTAL,100,13490,10855,17838,2046.05,0.00%,2.7,65.27,24686.8
