Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
06 flow - get and delete all items by root item:main flow,10,12182,10799,14807,1515.67,0.00%,.3,7.20,24663.5
TOTAL,10,12182,10799,14807,1515.67,0.00%,.3,7.20,24663.5
