Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
02 flow-create and move  items into a project:main flow,70,26484,23730,36908,2331.56,0.00%,.9,41.40,46476.4
TOTAL,70,26484,23730,36908,2331.56,0.00%,.9,41.40,46476.4
