Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
02 flow-create and move  items into a project:main flow,100,26592,23394,35855,2955.34,0.00%,1.3,59.41,46315.1
TOTAL,100,26592,23394,35855,2955.34,0.00%,1.3,59.41,46315.1
