Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
main flow,10,23820,23196,26902,1053.17,0.00%,.2,6.80,46291.2
TOTAL,10,23820,23196,26902,1053.17,0.00%,.2,6.80,46291.2
