Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
05 flow - create N child items:main flow,70,71969,42656,151963,21871.05,0.00%,.4,5.40,13012.2
TOTAL,70,71969,42656,151963,21871.05,0.00%,.4,5.40,13012.2
