Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
05 flow - create N child items:main flow,40,27890,23368,32880,2199.73,0.00%,.9,10.92,13011.1
TOTAL,40,27890,23368,32880,2199.73,0.00%,.9,10.92,13011.1
