Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
05 flow - create N child items:main flow,10,8160,6874,10722,1405.78,0.00%,.4,5.41,13052.3
TOTAL,10,8160,6874,10722,1405.78,0.00%,.4,5.41,13052.3
