Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
08 flow - delete all project done items:main flow,100,16941,12529,23377,2524.80,1.00%,1.9,47.56,25397.4
TOTAL,100,16941,12529,23377,2524.80,1.00%,1.9,47.56,25397.4
