Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
08 flow - delete all project done items:main flow,70,16050,12067,29075,3351.53,0.00%,1.4,35.55,25401.3
TOTAL,70,16050,12067,29075,3351.53,0.00%,1.4,35.55,25401.3
