Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
08 flow - delete all project done items:main flow,10,33332,26918,36277,2935.98,0.00%,.2,4.46,25388.2
TOTAL,10,33332,26918,36277,2935.98,0.00%,.2,4.46,25388.2
