Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
main flow,100,44404,39862,53876,2376.69,0.00%,1.4,33.86,25394.2
TOTAL,100,44404,39862,53876,2376.69,0.00%,1.4,33.86,25394.2
