Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
08 flow - delete all project done items:main flow,70,19125,15291,30249,3093.51,0.00%,1.4,34.73,25399.0
TOTAL,70,19125,15291,30249,3093.51,0.00%,1.4,34.73,25399.0
